mcgill,0.20862796502071215
international,0.21079889600480553
buddy,0.21079889600480553
program,0.16690237201656974
life,0.11316279766635529
montreal,0.2612955913842297
new,0.41807294621476754
students,0.3755303370372819
buddies,0.21079889600480553
cultural,0.140532597336537
guidance,0.140532597336537
information,0.10451823655369188
year,0.17919832018669496
volunteers,0.11946554679112999
mcgill,0.20862796502071215
life,0.11316279766635529
montreal,0.2612955913842297
students,0.3755303370372819
information,0.10451823655369188
year,0.17919832018669496
program,0.16690237201656974
new,0.41807294621476754
students,0.3755303370372819
information,0.10451823655369188
mcgill,0.20862796502071215
students,0.3755303370372819
mcgill,0.20862796502071215
program,0.16690237201656974
montreal,0.2612955913842297
volunteers,0.11946554679112999
life,0.11316279766635529
new,0.41807294621476754
mcgill,0.20862796502071215
program,0.16690237201656974
life,0.11316279766635529
students,0.3755303370372819
life,0.11316279766635529
program,0.16690237201656974
life,0.11316279766635529
