support,0.13661573778297062
support,0.13661573778297062
support,0.13661573778297062
session,0.22307052950352224
support,0.13661573778297062
peer,0.2867847364523742
support,0.13661573778297062
session,0.22307052950352224
support,0.13661573778297062
session,0.22307052950352224
support,0.13661573778297062
support,0.13661573778297062
session,0.22307052950352224
peer,0.2867847364523742
arrive,0.11245251587218492
welcomed,0.11245251587218492
receptionist,0.22490503174436985
walk,0.11245251587218492
document,0.11245251587218492
outlines,0.11245251587218492
confidentiality,0.11245251587218492
afterwards,0.11245251587218492
supporter,0.3373575476165548
room,0.11245251587218492
45,0.11245251587218492
discuss,0.11245251587218492
empathetically,0.11245251587218492
judgmentally,0.11245251587218492
brainstorming,0.11245251587218492
options,0.11245251587218492
suggesting,0.11245251587218492
plan,0.11245251587218492
discussed,0.11245251587218492
questionnaire,0.11245251587218492
opportunity,0.11245251587218492
psc,0.22490503174436985
continuously,0.11245251587218492
moment,0.11245251587218492
return,0.11245251587218492
support,0.13661573778297062
